Param,ParamGroup,ProjectId,ResultStatus,ResultValue,SampleDate,SampleId,SampMedia,StationId,Unit,USGSPCode
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,12/1/1947 0:00,nwisaz.01.94800007,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,99,12/11/1947 0:00,nwisaz.01.94800008,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,110,12/21/1947 0:00,nwisaz.01.94800009,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,104,1/1/1948 0:00,nwisaz.01.94800010,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,99,1/11/1948 0:00,nwisaz.01.94800011,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,101,1/21/1948 0:00,nwisaz.01.94800012,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,101,2/1/1948 0:00,nwisaz.01.94800013,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,98,2/11/1948 0:00,nwisaz.01.94800014,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,2/21/1948 0:00,nwisaz.01.94800015,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,104,3/1/1948 0:00,nwisaz.01.94800016,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,96,3/11/1948 0:00,nwisaz.01.94800017,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,95,3/21/1948 0:00,nwisaz.01.94800018,Surface Water,USGS-09380000,mg/l,915
